,Date,Ticker,Name,Sector,MCAP [M],Open [$],Close [$],% Change,Vol. [M],Avg. Vol. [M],Avg. 10D Vol. [M],EPS est.,Trailing EPS,Forward EPS,EPS QoQ,Rev. Q Growth,% Inst. Holdings,% of 200DMA,% of 50DMA,Forward PE,Float [M],% Short Float,52W High
86,2020-11-17,JKS,JinkoSolar Holding Co Ltd,Technology,2885.716736,63.8,63.44,0.57,2.210708,7.357755,6.6995,0.85,1.29,4.23,1.54,0,0.66,114.65,7.07,15.34,28.12563,0.0,90.2
110,2020-11-18,AVYA,Avaya Holdings Corp,Technology,1553.348096,19.28,19.0,1.47,0.818429,1.532972,1.384887,1.2,-7.66,4.72,0.0,0,1.14,31.99,8.94,3.97,74.310104,0.21,19.7
132,2020-11-18,KC,Kingsoft Cloud Holdings Ltd,Technology,8286.863872,38.6,37.73,2.31,1.182933,1.538587,1.485825,-0.16,0.0,0.0,0.0,0,0.15,26.36,21.36,0.0,83.181737,0.0,42.8
127,2020-11-18,CPA,Copa Holdings SA,Industrials,3052.162816,67.99,67.44,0.82,0.437243,0.47651,0.789537,-2.74,-4.83,0.38,0.0,0,1.09,35.39,25.8,189.68,31.495199,0.12,114.0
121,2020-11-18,UGI,UGI Corp,Utilities,7589.133824,35.62,35.48,0.39,0.531915,0.883403,0.856912,-0.3,2.29,2.83,0.0,0,0.84,8.37,4.42,12.87,206.650148,0.02,45.71
133,2020-11-18,PAGS,PagSeguro Digital Ltd,Technology,14311.650304,43.69,43.37,0.74,0.894338,1.485363,1.730075,0.2,0.7,1.2,-0.08,0,1.1,18.99,9.42,36.37,178.48033,0.2,45.76
168,2020-11-19,CSIQ,Canadian Solar Inc,Technology,2292.589312,40.2696,39.42,2.16,1.319214,2.510004,2.508137,-0.05,4.25,3.38,-0.67,0,0.46,50.51,5.15,11.49,42.092271,0.11,44.86
125,2020-11-18,TJX,TJX Companies Inc,Consumer Cyclical,71499.948032,59.77,59.4,0.62,9.55705,7.155396,8.559425,0.4,0.58,2.55,0.0,0,0.92,11.3,6.52,23.38,1196.878842,0.01,64.95
131,2020-11-18,KC,Kingsoft Cloud Holdings Ltd,Technology,8286.863872,38.6,37.73,2.31,1.182933,1.538587,1.485825,-0.16,0.0,0.0,0.0,0,0.15,26.36,21.36,0.0,83.181737,0.0,42.8
157,2020-11-19,BERY,Berry Global Group Inc,Consumer Cyclical,7099.404288,53.34,52.65,1.31,0.705782,0.931427,1.057512,1.22,4.39,5.08,13.69,0,1.06,11.97,7.79,10.54,114.18186,0.03,54.98
140,2020-11-18,SONO,Sonos Inc,Technology,1838.504448,16.5,16.3,1.23,3.39443,3.08781,2.279287,0.0,-0.63,0.12,0.0,0,0.61,19.9,8.89,138.5,109.333944,0.08,17.83
160,2020-11-19,BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,5571.517952,40.85,40.43,1.04,1.868334,2.267415,2.356875,0.64,2.16,2.39,0.96,0,1.08,6.62,1.05,16.9,136.035145,0.17,47.46
158,2020-11-19,BECN,Beacon Roofing Supply Inc,Industrials,2574.355712,36.3,35.78,1.45,0.368908,0.492916,0.431112,0.99,-2.17,2.41,0.0,0,1.05,23.69,6.48,15.42,51.0245,0.06,38.35
195,2020-11-20,BKE,Buckle Inc,Consumer Cyclical,1358.711808,27.65,27.46,0.69,0.31282,0.523361,0.474862,0.54,1.96,2.17,1.12,0,0.65,48.11,14.84,12.67,28.292105,0.28,31.2
190,2020-11-19,MAXN,Maxeon Solar Technologies Ltd,Technology,549.896,19.39,18.98,2.16,0.978341,0.918021,0.680925,0.0,0.0,0.0,0.0,0,0.25,6.89,8.58,0.0,49.275527,0.0,37.62
